Gene ID	Associated Gene Name	Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000070332	Trim80	11	115440545	115448270	1
ENSMUSG00000076541	Igkv4-79	6	69042972	69043505	-1
ENSMUSG00000059842	Zfp341	2	154613297	154646821	1
ENSMUSG00000091122	Gm8247	14	44583153	44588402	1
ENSMUSG00000009863	Sdhb	4	140961203	140979193	1
ENSMUSG00000039814	Xkr5	8	18932729	18950975	-1
ENSMUSG00000083816	Gm13033	4	132884763	132886626	1
ENSMUSG00000025105	Bnc1	7	81966672	81992292	-1
ENSMUSG00000018169	Mfng	15	78755882	78773475	-1
ENSMUSG00000083717	Gm13865	3	109192003	109192867	-1
ENSMUSG00000103499	Gm6558	3	31644796	31690585	-1
ENSMUSG00000110220	Gm45296	8	100438758	100438962	1
ENSMUSG00000102538	Gm37230	9	108190531	108191348	-1
ENSMUSG00000106478	Gm36551	5	137857045	137860318	1
ENSMUSG00000110014	Gm5361	8	100636519	100638016	1
ENSMUSG00000111042	RP23-249B22.2	10	34878624	35065312	1
ENSMUSG00000066684	Pilrb1	5	137852147	137858106	-1
ENSMUSG00000030474	Siglece	7	43651070	43660161	-1
ENSMUSG00000072594	Gm16439	14	44596665	44597228	1
ENSMUSG00000110935	RP23-361K13.1	10	34898256	34898820	1
ENSMUSG00000027274	Mkks	2	136873780	136891389	-1
ENSMUSG00000109145	Gm20744	7	82070387	82081758	1
ENSMUSG00000090199	Gm16029	15	7397897	7411381	1
ENSMUSG00000046387	Pcdhb17	18	37484795	37489454	1
ENSMUSG00000111216	RP23-249B22.1	10	35142313	35142578	1
ENSMUSG00000110837	RP24-202N20.1	10	35242123	35242743	-1
ENSMUSG00000102634	Gm38225	18	36952651	36953043	-1
ENSMUSG00000028661	Epha8	4	136929419	136956816	-1
ENSMUSG00000040367	Lrrd1	5	3845173	3866596	1
ENSMUSG00000051678	Pcdhb6	18	37333921	37337674	1
ENSMUSG00000108868	Gm45087	7	82120053	82161719	1
ENSMUSG00000111753	RP24-74P1.1	10	35478827	35485396	-1
ENSMUSG00000108987	Gm45056	7	82115766	82120432	-1
ENSMUSG00000025479	Cyp2e1	7	140763739	140774987	1
ENSMUSG00000108494	Gm45203	7	80110804	80112634	-1
ENSMUSG00000108845	Gm45090	7	82155877	82157024	-1
ENSMUSG00000027944	Hax1	3	89995446	89998780	-1
ENSMUSG00000020811	Wscd1	11	71749920	71789647	1
ENSMUSG00000103088	Pcdhgb6	18	37742094	37841873	1
ENSMUSG00000021639	Gtf2h2	13	100460218	100492579	-1
ENSMUSG00000030541	Idh2	7	80094846	80115392	-1
ENSMUSG00000063953	Amd2	10	35708675	35711892	-1
ENSMUSG00000044786	Zfp36	7	28376784	28380253	-1
ENSMUSG00000022822	Abcc5	16	20331303	20426394	-1
ENSMUSG00000101610	Gm7560	1	12120960	12121832	1
ENSMUSG00000086794	Gm11642	11	103723950	103724532	1
ENSMUSG00000097628	Gm2383	1	12565577	12566383	1
ENSMUSG00000072688	Gm10399	5	117318497	117319244	-1
ENSMUSG00000109200	Gm44969	7	47142157	47144322	-1
ENSMUSG00000108449	Gm44507	7	98388091	98415624	-1
ENSMUSG00000081274	Gm15727	5	117348907	117349343	-1
ENSMUSG00000090750	Gm21999	5	17380573	17381699	1
ENSMUSG00000066894	Vsig10	5	117319083	117355005	1
ENSMUSG00000036208	Nepro	16	44724301	44737284	1
ENSMUSG00000003444	Med29	7	28386146	28392708	-1
ENSMUSG00000094365	Gm21982	7	30641001	30664937	-1
ENSMUSG00000000600	Krit1	5	3803184	3845564	1
ENSMUSG00000101203	Gm28615	7	33903280	33904117	-1
ENSMUSG00000083085	Gm12765	7	33937261	33938237	1
ENSMUSG00000109455	Gm44710	7	28378980	28392514	1
ENSMUSG00000082241	Gm15776	16	22295027	22295231	1
ENSMUSG00000025451	Paip1	13	119428601	119458218	1
ENSMUSG00000110915	RP24-496O17.9	9	21367396	21369184	-1
ENSMUSG00000100624	Gm28101	Y	69286102	69286798	1
ENSMUSG00000085483	Gm14198	2	154630002	154632636	-1
ENSMUSG00000097665	Gm16853	9	21405242	21411720	-1
ENSMUSG00000032313	Tmem266	9	55326913	55438345	1
ENSMUSG00000089902	Gm13625	2	69871412	69872202	-1
ENSMUSG00000091575	2010016I18Rik	3	106481982	106485913	-1
ENSMUSG00000066586	Scgb2b26	7	33943002	33945040	-1
ENSMUSG00000109769	Gm45595	8	100661909	100726355	-1
ENSMUSG00000025739	Gng13	17	25717171	25719406	1
ENSMUSG00000091605	Gm8256	14	44614692	44617119	1
ENSMUSG00000109140	Gm45089	7	82172665	82174704	-1
ENSMUSG00000068882	Ssb	2	69861562	69871846	1
ENSMUSG00000105272	Gm43071	3	106567605	106569636	1
ENSMUSG00000090736	Gm9593	14	44623288	44625490	1
ENSMUSG00000030638	Sh3gl3	7	82173840	82307419	1
ENSMUSG00000106592	Gm43070	3	106553478	106553892	-1
ENSMUSG00000034744	Nagk	6	83794982	83804018	1
ENSMUSG00000020275	Rel	11	23736847	23770970	-1
ENSMUSG00000110069	Gm45422	8	102534645	102534890	1
ENSMUSG00000036733	Rbm42	7	30640999	30650317	-1
ENSMUSG00000086944	Gm15859	16	4729869	4730809	1
ENSMUSG00000038467	Chmp4b	2	154651705	154694785	1
ENSMUSG00000089940	Gm4117	13	89739460	89887166	1
ENSMUSG00000086464	Gm15835	16	4777743	4779454	-1
ENSMUSG00000027900	Dram2	3	106547798	106575890	1
ENSMUSG00000038495	Otud7b	3	96104527	96161129	1
ENSMUSG00000071451	Psmg4	13	34162964	34178172	1
ENSMUSG00000027281	Slx4ip	2	136891218	137071950	1
ENSMUSG00000045775	Slc16a5	11	115462474	115474398	1
ENSMUSG00000004071	Cdip1	16	4750348	4790292	-1
ENSMUSG00000012422	Tmem167	13	90089123	90143907	1
ENSMUSG00000027186	Elf5	2	103411688	103450989	1
ENSMUSG00000051729	Gm5087	14	13157388	13284638	-1
ENSMUSG00000103384	Gm37753	18	36967591	36968148	-1
ENSMUSG00000045657	Pcdhb10	18	37411664	37414514	1
ENSMUSG00000093949	Gm21754	14	44687491	44689874	1
ENSMUSG00000079265	Gm8257	14	44649204	44706456	-1
ENSMUSG00000071065	Olfr806	10	129735571	129741937	-1
ENSMUSG00000104264	Gm18529	18	37305535	37306791	1
ENSMUSG00000070837	Aurkc	7	6995300	7003091	1
ENSMUSG00000045062	Pcdhb7	18	37341702	37345202	1
ENSMUSG00000097680	Gm26642	1	135248561	135266443	1
ENSMUSG00000107984	Gm5306	6	53777384	53778140	1
ENSMUSG00000090005	Gm16540	3	90057259	90058380	1
ENSMUSG00000084009	Rhox7-ps1	X	38296868	38306028	1
ENSMUSG00000003051	Elf3	1	135253575	135258568	-1
ENSMUSG00000102388	Gm33815	Y	69321132	69331861	1
ENSMUSG00000091453	Gm6541	14	44701858	44704087	1
ENSMUSG00000104318	Pcdha7	18	36973802	37187657	1
ENSMUSG00000110865	RP24-497E22.1	10	35849310	35859450	-1
ENSMUSG00000105503	Gm42982	5	44219683	44224003	1
ENSMUSG00000096699	Rps19-ps4	18	42252398	42252835	1
ENSMUSG00000111550	RP23-359F16.1	10	35838490	35854475	1
ENSMUSG00000027942	4933434E20Rik	3	90051636	90068347	1
ENSMUSG00000106141	Gm18330	3	135902295	135902841	-1
ENSMUSG00000082064	Rpl5-ps2	2	154703809	154704699	1
ENSMUSG00000105149	Gm42983	5	44224510	44225324	1
ENSMUSG00000095200	Ighv1-7	12	114538495	114538965	-1
ENSMUSG00000104240	Gm36858	18	36980057	36989575	1
ENSMUSG00000027087	Itgav	2	83724397	83806916	1
ENSMUSG00000105519	E430021H15Rik	5	44213801	44217259	-1
ENSMUSG00000008601	Rab25	3	88542029	88548300	-1
ENSMUSG00000063687	Pcdhb5	18	37320381	37323915	1
ENSMUSG00000100050	Gm28121	Y	76642270	76642608	-1
ENSMUSG00000083975	Gm14215	2	154713502	154713722	-1
ENSMUSG00000078256	Gm11565	11	99914751	99915671	1
ENSMUSG00000085651	Gm11695	11	115462045	115463454	-1
ENSMUSG00000046985	Tapt1	5	44175154	44226626	-1
ENSMUSG00000085691	Gm14216	2	154722352	154738451	-1
ENSMUSG00000045876	Pcdhb8	18	37355121	37358604	1
ENSMUSG00000052303	Mrgpra6	7	47185707	47204920	-1
ENSMUSG00000105421	5830411K02Rik	5	107688171	107689167	1
ENSMUSG00000089972	Gm16318	13	89662770	89663370	1
ENSMUSG00000089796	Gm16575	15	79739574	79741798	1
ENSMUSG00000102827	Gm8242	18	37652433	37654172	-1
ENSMUSG00000098640	Gm14214	2	154769255	154770030	-1
ENSMUSG00000107758	Gm19253	6	49071630	49071936	1
ENSMUSG00000110987	RP23-319D22.1	10	36095876	36096495	1
ENSMUSG00000037805	Rpl10a	17	28328471	28331032	1
ENSMUSG00000107816	Gm29799	7	140784515	140785001	1
ENSMUSG00000103807	Trbv6	6	41066879	41067154	1
ENSMUSG00000086688	Gm11560	11	99932162	99933109	1
ENSMUSG00000038651	Sycp2l	13	41114307	41171684	1
ENSMUSG00000029925	Tbxas1	6	38875404	39084585	1
ENSMUSG00000025480	Syce1	7	140777229	140787852	-1
ENSMUSG00000106333	4930428O21Rik	5	107698212	107703480	-1
ENSMUSG00000001870	Ltbp1	17	75005568	75392512	1
ENSMUSG00000074111	Mrgpra9	7	47234861	47252848	-1
ENSMUSG00000006542	Prkag3	1	74738922	74749221	-1
ENSMUSG00000043811	Rtn4r	16	18127642	18152408	1
ENSMUSG00000004070	Hmox2	16	4726361	4766742	1
ENSMUSG00000110731	RP24-198J23.1	10	36391592	36396928	1
ENSMUSG00000038473	Nos1ap	1	170302668	170589861	-1
ENSMUSG00000060862	Zbtb40	4	136979732	137048801	-1
ENSMUSG00000041126	H2afv	11	6427229	6444443	-1
ENSMUSG00000020231	Dip2a	10	76259429	76345291	-1
ENSMUSG00000099560	Mrgprx3-ps	7	47309378	47310295	-1
ENSMUSG00000021177	Tdp1	12	99884517	99955219	1
ENSMUSG00000053678	Defb40	8	18974940	18978256	-1
ENSMUSG00000092469	Gm20395	19	44773762	44784512	-1
ENSMUSG00000109164	Gm45085	7	47349453	47349893	1
ENSMUSG00000004231	Pax2	19	44756045	44837871	1
ENSMUSG00000041926	Rnpep	1	135262712	135284084	-1
ENSMUSG00000050650	Mrgpra1	7	47334875	47354240	-1
ENSMUSG00000024497	Pou4f3	18	42394539	42397249	1
ENSMUSG00000050478	Olfr807	10	129754092	129757793	-1
ENSMUSG00000084345	Rpl17-ps4	4	63895545	63896099	-1
ENSMUSG00000058643	Speer4f1	5	17476098	17480936	1
ENSMUSG00000111837	RP23-361B11.3	9	122682742	122683641	1
ENSMUSG00000083140	Gm5073	X	17626257	17627076	1
ENSMUSG00000093744	Gm20675	14	67232437	67233129	-1
ENSMUSG00000100708	Gm21173	Y	76761600	76787729	1
ENSMUSG00000081614	Gm9436	X	17674430	17676284	-1
ENSMUSG00000047720	4922502D21Rik	6	129322164	129331796	-1
ENSMUSG00000111068	RP23-92N3.1	9	122686799	122693642	1
ENSMUSG00000053251	Olfr212	6	116506516	116517965	1
ENSMUSG00000105937	Gm43602	3	135963459	135963758	-1
ENSMUSG00000108783	Gm44819	7	43670841	43671314	-1
ENSMUSG00000105244	Gm5281	3	136049555	136051688	-1
ENSMUSG00000111577	RP23-92N3.2	9	122687068	122714333	-1
ENSMUSG00000104710	Gm43603	3	135904344	136167184	1
ENSMUSG00000102131	Gm21160	Y	69352610	69353305	1
ENSMUSG00000056849	Gm16415	18	42441019	42441507	1
ENSMUSG00000022915	1700093J21Rik	16	96082676	96089070	1
ENSMUSG00000111441	RP23-92N3.3	9	122715203	122715364	1
ENSMUSG00000002393	Nr2f6	8	71374123	71381960	-1
ENSMUSG00000037072	Selenof	3	144570304	144597680	1
ENSMUSG00000101238	Gm28123	Y	76849181	76849876	-1
ENSMUSG00000102622	Trbv7	6	41080253	41080654	1
ENSMUSG00000106358	Gm7047	5	17493223	17494285	1
ENSMUSG00000036449	Lcn8	2	25653120	25656217	1
ENSMUSG00000053695	Defb37	8	18986233	18991055	-1
ENSMUSG00000037922	Bank1	3	136053363	136326066	-1
ENSMUSG00000086093	Gm15341	16	96098499	96113821	1
ENSMUSG00000104784	Gm42984	5	44226587	44243548	1
ENSMUSG00000092369	1700039E22Rik	19	44828493	44835938	-1
ENSMUSG00000051730	Mettl5	2	69871198	69885615	-1
ENSMUSG00000100136	Gm20933	Y	65939270	65939962	-1
ENSMUSG00000105506	Gm43743	3	94334394	94335332	-1
ENSMUSG00000013089	Etv5	16	22381309	22439719	-1
ENSMUSG00000039952	Dag1	9	108204634	108263958	-1
ENSMUSG00000100024	Gm21782	Y	84489103	84489780	-1
ENSMUSG00000102821	Trbv8	6	41084821	41085105	1
ENSMUSG00000061436	Hipk2	6	38694390	38876165	-1
ENSMUSG00000104198	Trbv9	6	41087999	41088288	1
ENSMUSG00000103833	Gm37610	6	41081587	41091983	1
ENSMUSG00000096716	Gm5755	X	17880670	17881506	-1
ENSMUSG00000094985	Topaz1	9	122747346	122802135	1
ENSMUSG00000091671	Trbv10	6	41091940	41092228	1
ENSMUSG00000031284	Pak3	X	143518591	143797796	1
ENSMUSG00000109871	Gm45276	8	15044563	15045648	1
ENSMUSG00000031480	Thsd1	8	22227313	22261334	1
ENSMUSG00000094699	Gm28637	Y	69380245	69383755	1
ENSMUSG00000049008	BB014433	8	15041444	15046078	-1
ENSMUSG00000040455	Usp45	4	21767156	21837872	1
ENSMUSG00000070323	Mmp27	9	7571396	7581885	1
ENSMUSG00000029004	Kmt2e	5	23434441	23504235	1
ENSMUSG00000039375	Wdr17	8	54629055	54887184	-1
ENSMUSG00000069237	Fam8a1	13	46669522	46678056	1
ENSMUSG00000056281	Olfr1322	X	49884999	49891483	-1
ENSMUSG00000038888	Ctu1	7	43672016	43678298	1
ENSMUSG00000078289	Gm10923	15	85116870	85117287	1
ENSMUSG00000002396	Ocel1	8	71371298	71379361	1
ENSMUSG00000101758	Gm28137	Y	66079219	66085944	1
ENSMUSG00000103814	Gm38007	3	8673410	8673722	1
ENSMUSG00000101256	Gm28133	Y	66079007	66081905	-1
ENSMUSG00000018481	Appbp2	11	85187262	85235130	-1
ENSMUSG00000105208	Gm43525	3	20308407	20309915	1
ENSMUSG00000071532	Gm10335	10	14523078	14523545	1
ENSMUSG00000083945	Gm15242	X	160713896	160714178	-1
ENSMUSG00000039116	Adgrg6	10	14402583	14545179	-1
ENSMUSG00000082449	Gm15244	X	160714196	160714325	1
ENSMUSG00000090007	Rpl30-ps2	8	22230902	22231192	-1
ENSMUSG00000062168	Ppef1	X	160623094	160735765	-1
ENSMUSG00000094660	Gm21394	Y	84562572	84564907	-1
ENSMUSG00000057219	Armc7	11	115475667	115490467	1
ENSMUSG00000100406	Gm28120	Y	76886276	76886590	-1
ENSMUSG00000051029	Serpinb1b	13	33084125	33094380	1
ENSMUSG00000033294	Noc4l	5	110648418	110653417	-1
ENSMUSG00000100300	Gm28191	Y	4227580	4239057	1
ENSMUSG00000027596	a	2	154791402	155051012	1
ENSMUSG00000002058	Unc119	11	78343482	78349164	1
ENSMUSG00000022986	Krt75	15	101563345	101573904	-1
ENSMUSG00000042607	Asb4	6	5383386	5433022	1
ENSMUSG00000020736	Nt5c	11	115490420	115491862	-1
ENSMUSG00000105552	Gm19710	3	89998760	90021445	1
ENSMUSG00000030781	Slc5a2	7	128265657	128272430	1
ENSMUSG00000102752	Gm7694	1	170298199	170306332	-1
ENSMUSG00000081255	Gm5380	X	13302285	13304420	1
ENSMUSG00000107504	Gm35549	9	122822776	122844035	-1
ENSMUSG00000104662	Gm43267	5	144223725	144225520	1
ENSMUSG00000029409	U90926	5	92209893	92215408	-1
ENSMUSG00000086364	Gm11751	4	68023031	68137113	1
ENSMUSG00000109965	Gm45274	8	15046212	15050770	1
ENSMUSG00000043733	Ptpn11	5	121130533	121191397	-1
ENSMUSG00000029815	Malsu1	6	49073795	49086751	1
ENSMUSG00000046603	Tcaim	9	122805539	122836334	1
ENSMUSG00000080914	Gm7129	X	13326023	13327019	-1
ENSMUSG00000100683	Gm28186	Y	4311904	4312582	-1
ENSMUSG00000106519	Gm38509	3	34772075	34782346	1
ENSMUSG00000042800	1700015E13Rik	1	170308803	170312125	1
ENSMUSG00000085628	Appbp2os	11	85234775	85238304	1
ENSMUSG00000105480	Igkv13-78-1	6	69051617	69051816	1
ENSMUSG00000099395	Gm28138	Y	66114135	66117482	1
ENSMUSG00000049894	Olfr808	10	129765482	129771713	1
ENSMUSG00000097442	Gm26632	8	33813203	33833094	1
ENSMUSG00000031066	Usp11	X	20703906	20720539	1
ENSMUSG00000102088	Gm21064	Y	4341127	4381726	1
ENSMUSG00000080791	Akirin1-ps	11	85216597	85217054	1
ENSMUSG00000100982	Gm21837	Y	66123576	66124271	1
ENSMUSG00000044121	5430402E10Rik	X	77919786	77925062	-1
ENSMUSG00000036990	Otud4	8	79639618	79677724	1
ENSMUSG00000031586	Rbpms	8	33782643	33929863	-1
ENSMUSG00000080818	Gm9434	X	13377866	13378678	-1
ENSMUSG00000094315	Igkv4-78	6	69059690	69060224	-1
ENSMUSG00000107801	Gm44086	6	146268632	146270980	-1
ENSMUSG00000024670	Cd6	19	10789341	10830058	-1
ENSMUSG00000083942	Scgb1b26-ps	7	33958805	33959986	1
ENSMUSG00000107743	Gm44087	6	146376417	146378186	1
ENSMUSG00000084897	Gm14226	2	155018266	155027104	1
ENSMUSG00000107990	Gm7890	6	49080462	49081062	-1
ENSMUSG00000082120	Gm15720	6	146463326	146463607	-1
ENSMUSG00000055022	Cntn1	15	92051165	92341967	1
ENSMUSG00000032306	Mpi	9	57544256	57552763	-1
ENSMUSG00000107727	Gm18010	6	49172759	49172960	1
ENSMUSG00000101159	Gm28184	7	33986311	33986377	1
ENSMUSG00000105313	Gm43583	6	69086185	69086487	1
ENSMUSG00000081962	Gm12773	7	33996999	33997585	1
ENSMUSG00000029814	Igf2bp3	6	49085223	49214957	-1
ENSMUSG00000081768	Gm12755	7	33998012	34006461	1
ENSMUSG00000027593	Raly	2	154791096	154867261	1
ENSMUSG00000037263	Aldh3b3	19	3958645	3972103	1
ENSMUSG00000086028	Gm12243	11	57572512	57574595	1
ENSMUSG00000051481	Krtap31-2	11	99936291	99937225	1
ENSMUSG00000030287	Itpr2	6	146108299	146502223	-1
ENSMUSG00000030134	Rasgef1a	6	118011438	118091546	1
ENSMUSG00000016327	Atp1b4	X	38316184	38336769	1
ENSMUSG00000061527	Krt5	15	101707070	101712891	-1
ENSMUSG00000078255	Krtap9-5	11	99948475	99949551	1
ENSMUSG00000028148	Them5	3	94342099	94347352	1
ENSMUSG00000057132	Rpgrip1	14	52110704	52163546	1
ENSMUSG00000054280	Prr14l	5	32789820	32854256	-1
ENSMUSG00000053063	Clec12a	6	129342691	129365303	1
ENSMUSG00000090753	Rpl31-ps4	16	87549062	87549451	-1
ENSMUSG00000020153	Ndufs7	10	80249121	80256794	1
ENSMUSG00000085335	Gm13684	2	83737782	83759865	-1
ENSMUSG00000020241	Col6a2	10	76595762	76623630	-1
ENSMUSG00000099514	Gm28241	Y	4531045	4531637	1
ENSMUSG00000081801	Dnmt3l-ps1	2	83744484	83745736	-1
ENSMUSG00000025610	Map3k7cl	16	87553330	87595336	1
ENSMUSG00000097261	4930532G15Rik	1	185359461	185362865	-1
ENSMUSG00000028601	Echdc2	4	108165437	108179308	1
ENSMUSG00000105651	Gm43003	3	35256462	35276131	-1
ENSMUSG00000090030	A430072P03Rik	5	107725157	107728801	1
ENSMUSG00000031399	Fam3a	X	74384719	74393272	-1
ENSMUSG00000083157	Gm13511	2	39216932	39217294	-1
ENSMUSG00000027276	Jag1	2	137081456	137116644	-1
ENSMUSG00000019577	Pdk4	6	5483351	5496309	-1
ENSMUSG00000029275	Gfi1	5	107716657	107726036	-1
ENSMUSG00000038859	Baiap2l1	5	144264526	144358112	-1
ENSMUSG00000026753	Ppp6c	2	39194354	39226451	-1
ENSMUSG00000103346	C230057A21Rik	3	8732870	8736360	-1
ENSMUSG00000030787	Lyve1	7	110850607	110863239	-1
ENSMUSG00000066584	Scgb2b27	7	34011921	34013942	-1
ENSMUSG00000023452	Pisd	5	32736301	32785646	-1
ENSMUSG00000029410	Ppef2	5	92226679	92256278	-1
ENSMUSG00000015653	Steap2	5	5664829	5694578	-1
ENSMUSG00000033208	S100b	10	76253853	76261159	1
ENSMUSG00000035847	Ids	X	70343069	70365084	-1
ENSMUSG00000015488	Cacfd1	2	27009926	27021089	1
ENSMUSG00000087417	Gm13001	4	137117143	137118143	-1
ENSMUSG00000066583	Scgb1b27	7	34021483	34022881	1
ENSMUSG00000030780	BC017158	7	128271379	128298170	-1
ENSMUSG00000085542	1700037C06Rik	4	137116709	137117582	-1
ENSMUSG00000100446	Gm28242	Y	4586871	4590103	1
ENSMUSG00000012535	Tnpo3	6	29540827	29609887	-1
ENSMUSG00000089711	Gm16240	10	76293165	76294860	1
ENSMUSG00000085833	Gm13003	4	137159082	137165066	-1
ENSMUSG00000108346	Gm44980	7	98437206	98437519	-1
ENSMUSG00000062604	Srpk2	5	23503264	23684617	-1
ENSMUSG00000082798	Gm11561	11	99955607	99956023	1
ENSMUSG00000080806	Gm13005	4	137219760	137220399	-1
ENSMUSG00000105708	Gm36070	3	94356507	94360842	-1
ENSMUSG00000075335	4930588K23Rik	16	18591992	18609751	1
ENSMUSG00000081547	Gm11553	11	99961079	99961318	1
ENSMUSG00000082149	Gm13002	4	137222641	137223322	-1
ENSMUSG00000087484	2900089D17Rik	5	144241690	144256186	-1
ENSMUSG00000078254	Krtap29-1	11	99978025	99979053	-1
ENSMUSG00000022552	Sharpin	15	76347040	76351111	-1
ENSMUSG00000105045	Rpl9-ps8	3	144625403	144625964	-1
ENSMUSG00000099526	Gm29313	Y	76923339	76926578	1
ENSMUSG00000104600	Dmrt1i	5	144357923	144361048	1
ENSMUSG00000083686	Gm13504	2	39237126	39237441	-1
ENSMUSG00000091648	C2cd4d	3	94362438	94364566	1
ENSMUSG00000040681	Hmgn1	16	96120618	96127729	-1
ENSMUSG00000078253	Krtap16-1	11	99984710	99986597	-1
ENSMUSG00000086894	Gm15708	5	144277061	144280513	1
ENSMUSG00000081144	Vmn2r-ps2	2	39274106	39274870	1
ENSMUSG00000026686	Lmx1a	1	167689237	167848741	1
ENSMUSG00000036856	Wnt4	4	137277489	137299726	1
ENSMUSG00000097178	2310002F09Rik	7	43695209	43797958	-1
ENSMUSG00000083574	Gm15709	5	144406602	144406814	1
ENSMUSG00000083314	Gm11742	11	116550418	116550650	1
ENSMUSG00000083401	Gm13506	2	39395413	39399730	1
ENSMUSG00000083434	Gm12760	7	34036447	34037432	-1
ENSMUSG00000082591	Gm11558	11	99988134	99988592	-1
ENSMUSG00000020802	Ube2o	11	116537740	116581447	-1
ENSMUSG00000080947	Gm12779	7	34068555	34068697	-1
ENSMUSG00000047843	Bri3	5	144244437	144446757	1
ENSMUSG00000110398	Gm45616	7	11773668	11773986	-1
ENSMUSG00000030693	Klk10	7	43781035	43785410	1
ENSMUSG00000078252	Krtap17-1	11	99993234	99993994	-1
ENSMUSG00000050853	Olfr958	9	39547958	39554054	-1
ENSMUSG00000098082	Gm20574	17	40854036	40868141	1
ENSMUSG00000110182	Gm45617	7	11774006	11774214	1
ENSMUSG00000082807	Gm14782	X	91859498	91859692	-1
ENSMUSG00000081231	Tcp1-ps1	4	68301246	68303290	-1
ENSMUSG00000106737	Gm42962	6	38917098	38984325	-1
ENSMUSG00000004626	Stxbp2	8	3630955	3643644	1
ENSMUSG00000107918	Gm8999	6	75383054	75384022	-1
ENSMUSG00000100121	1700025N23Rik	6	39063878	39067598	-1
ENSMUSG00000103256	Gm37647	3	8743682	8746824	-1
ENSMUSG00000029772	Ahcyl2	6	29768011	29912310	1
ENSMUSG00000035592	Krt33a	11	100011195	100016212	-1
ENSMUSG00000108734	Gm44817	7	43692644	43693096	1
ENSMUSG00000110473	RP23-162M13.11	8	71760118	71760591	1
ENSMUSG00000064023	Klk8	7	43797577	43803826	1
ENSMUSG00000110462	RP24-129F24.1	8	71752026	71781322	-1
ENSMUSG00000024498	Tcerg1	18	42511510	42575551	1
ENSMUSG00000070823	Gm1043	5	37154430	37229547	1
ENSMUSG00000081376	Gm11694	11	115493024	115493182	1
ENSMUSG00000110173	Gm6929	7	11845253	11845720	-1
ENSMUSG00000084155	Gm7113	X	91862599	91863556	-1
ENSMUSG00000111325	RP23-438P19.7	9	122847019	122848418	-1
ENSMUSG00000103207	Gm9874	17	30484661	30486124	1
ENSMUSG00000047036	Zfp445	9	122844529	122866006	-1
ENSMUSG00000047655	Vmn1r74	7	11846775	11847689	1
ENSMUSG00000020374	Rasgef1c	11	49901835	49980994	1
ENSMUSG00000086790	Gm12911	4	68312657	68321961	-1
ENSMUSG00000020737	Hn1	11	115497353	115514387	-1
ENSMUSG00000098163	Gm6216	1	12655867	12656553	1
ENSMUSG00000105565	Gm43566	5	23674739	23675546	-1
ENSMUSG00000104669	Gm43306	3	94368612	94377245	-1
ENSMUSG00000107830	4933439N06Rik	6	75572094	75573458	-1
ENSMUSG00000028150	Rorc	3	94372794	94398276	1
ENSMUSG00000108757	Gm45202	7	80155169	80156771	1
ENSMUSG00000059366	Olfr959	9	39569383	39575569	-1
ENSMUSG00000047884	Klk9	7	43791891	43796757	1
ENSMUSG00000018486	Wnt9b	11	103727364	103749821	-1
ENSMUSG00000106859	Gm42737	5	67757576	67759330	-1
ENSMUSG00000106837	D630030B08Rik	5	67833350	67836828	-1
ENSMUSG00000087261	Gm15477	5	67847065	67909013	1
ENSMUSG00000028435	Aqp3	4	41092722	41098183	-1
ENSMUSG00000086227	Gm11820	4	13076140	13096806	1
ENSMUSG00000057723	Krt33b	11	100023634	100029868	-1
ENSMUSG00000106512	Gm43078	3	35413833	35414000	1
ENSMUSG00000107206	Gm42736	5	67872882	67874234	1
ENSMUSG00000031214	Ophn1	X	98554277	98891025	-1
ENSMUSG00000085363	Gm15478	5	67642401	67646776	1
ENSMUSG00000106496	Gm7733	3	35536882	35537800	-1
ENSMUSG00000054046	Klk13	7	43712567	43727534	1
ENSMUSG00000107136	Gm42466	5	67843120	67844420	-1
ENSMUSG00000107041	Gm42735	5	67633663	67635308	-1
ENSMUSG00000082635	Gm14750	X	77988363	77992734	1
ENSMUSG00000023919	Cenpq	17	40923051	40935047	-1
ENSMUSG00000050010	Shisa3	5	67607882	67623552	1
ENSMUSG00000081327	Gm11819	4	13444770	13445141	1
ENSMUSG00000033985	Tesk2	4	116720948	116805956	1
ENSMUSG00000105040	Ube2l3-ps1	3	35545894	35546329	1
ENSMUSG00000099683	Gm28214	2	137198983	137199732	1
ENSMUSG00000106654	Gm2623	5	32838129	32838414	1
ENSMUSG00000108588	Gm44814	7	43715990	43716423	1
ENSMUSG00000083328	Gm11826	4	13482755	13483192	-1
ENSMUSG00000085504	Gm14055	2	137288503	137329126	1
ENSMUSG00000093574	Gm20671	5	32737230	32827109	-1
ENSMUSG00000044737	Klk14	7	43690418	43695536	1
ENSMUSG00000081781	Gm14753	X	78021042	78021287	-1
ENSMUSG00000106940	Gm42930	5	121181737	121184996	-1
ENSMUSG00000105429	Gm43692	5	32799904	32800965	-1
ENSMUSG00000085640	Gm14064	2	137663435	137829244	1
ENSMUSG00000105647	Gm43695	5	32739058	32739334	-1
ENSMUSG00000108553	Gm44880	7	25584224	25594776	1
ENSMUSG00000066682	Pilrb2	5	137865827	137871815	-1
ENSMUSG00000102618	Gm37848	1	158548864	158551966	-1
ENSMUSG00000086214	Gm14062	2	137870046	137876831	-1
ENSMUSG00000020150	Gamt	10	80258151	80261012	-1
